titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
movie,The Passing,The Passing,0,2011,\N,92,Horror
movie,Clawed,Sludge,0,2017,\N,95,Horror
movie,Wonder Woman,Wonder Woman,0,2017,\N,141,"Action,Adventure,Fantasy"
movie,Blunt Movie,Blunt Movie,0,2013,\N,83,"Comedy,Romance"
movie,Party Crashers,Os Penetras,0,2012,\N,88,Comedy
movie,42,42,0,2013,\N,128,"Biography,Drama,Sport"
movie,El hada buena - Una fábula peronista,El hada buena - Una fábula peronista,0,2010,\N,85,"Comedy,Drama,Sci-Fi"
movie,Life of Pi,Life of Pi,0,2012,\N,127,"Adventure,Drama,Fantasy"
movie,Being Flynn,Being Flynn,0,2012,\N,102,Drama
movie,The Crazies,The Crazies,0,2010,\N,101,"Horror,Thriller"
movie,The Equalizer,The Equalizer,0,2014,\N,132,"Action,Crime,Thriller"
movie,Memorias del desarrollo,Memorias del desarrollo,0,2010,\N,113,Drama
movie,Captain America: The First Avenger,Captain America: The First Avenger,0,2011,\N,124,"Action,Adventure,Sci-Fi"
movie,A Long Way Down,A Long Way Down,0,2014,\N,96,"Comedy,Drama"
movie,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,0,2014,\N,102,"Crime,Thriller"
movie,Generation P,Generation P,0,2011,\N,112,"Comedy,Drama,Sci-Fi"
video,One Step Beyond,One Step Beyond,0,2012,\N,56,Documentary
movie,Drunkboat,Drunkboat,0,2010,\N,98,Drama
movie,The Grasslands,The Grasslands,0,2011,\N,114,Drama
movie,The Only Living Boy in New York,The Only Living Boy in New York,0,2017,\N,89,Drama
movie,Texxas Jam '78,Texxas Jam '78,0,2012,\N,60,Documentary
short,Career Day,Career Day,0,2016,\N,8,"Comedy,Family,Short"
movie,Saving Private Perez,Salvando al Soldado Pérez,0,2011,\N,105,"Adventure,Comedy,Western"
movie,Steve Phoenix: The Untold Story,Steve Phoenix: The Untold Story,0,2012,\N,110,Drama
movie,High-Rise,High-Rise,0,2015,\N,119,Drama
movie,Satan Hates You,Satan Hates You,0,2010,\N,94,Horror
movie,Silent Alarm,Silent Alarm,0,2011,\N,82,"Comedy,Drama,Thriller"
movie,Federal,Federal,0,2010,\N,\N,"Drama,Thriller"
movie,The Devil You Know,The Devil You Know,0,2013,\N,76,"Mystery,Thriller"
movie,"Guns, Drugs and Dirty Money","Guns, Drugs and Dirty Money",0,2010,\N,123,"Action,Comedy,Crime"
movie,House at the End of the Drive,House at the End of the Drive,0,2014,\N,91,"Horror,Thriller"
movie,Piranha 3D,Piranha 3D,0,2010,\N,88,"Comedy,Horror,Thriller"
movie,Komaram Puli,Komaram Puli,0,2010,\N,163,"Action,Crime,Thriller"
movie,Act Your Age,Act Your Age,0,2011,\N,101,"Comedy,Drama"
movie,Taken by Force,Taken by Force,0,2010,\N,90,Action
video,Within: Terror Resides...,Within: Terror Resides...,0,2011,\N,85,"Horror,Thriller"
movie,Sensual,Sensual,0,2010,\N,99,Drama
movie,Golapi Ekhon Bilatey,Golapi Ekhon Bilatey,0,2010,\N,\N,Musical
videoGame,Alan Wake,Alan Wake,0,2010,\N,\N,"Action,Drama,Horror"
movie,Margaret,Margaret,0,2011,\N,150,Drama
movie,Alan Partridge,Alan Partridge: Alpha Papa,0,2013,\N,90,"Action,Comedy,Crime"
movie,Harlem Hostel,Harlem Hostel,0,2010,\N,81,"Comedy,Drama"
movie,Smoking/Non-Smoking,The Pack,0,2011,\N,84,Drama
movie,Platinum Illusions,Platinum Illusions,0,2011,\N,\N,"Action,Drama"
movie,Ex Machina,Ex Machina,0,2014,\N,108,"Drama,Mystery,Sci-Fi"
movie,"Hot Country, Cold Winter","Tak erkir, tsurt dzmer",0,2016,\N,104,Drama
movie,Tower Heist,Tower Heist,0,2011,\N,104,"Action,Comedy,Crime"
movie,The Smurfs,The Smurfs,0,2011,\N,103,"Adventure,Animation,Comedy"
movie,The Mechanic,The Mechanic,0,2011,\N,93,"Action,Crime,Thriller"
short,Historietas Assombradas (para Crianças Malcriadas),Historietas Assombradas (para Crianças Malcriadas),0,2013,\N,16,"Animation,Short"
movie,Escape from Heaven,Escape from Heaven,0,2018,\N,\N,"Comedy,Fantasy"
movie,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,0,2010,\N,116,"Action,Adventure,Fantasy"
movie,Stan,Stan,0,2011,\N,\N,Comedy
movie,Bamboo Shark,Bamboo Shark,0,2011,\N,\N,Comedy
movie,Cielito lindo,Cielito lindo,0,2010,\N,91,"Drama,Thriller"
movie,Clutch,Clutch,0,2012,\N,\N,"Action,Drama"
movie,"Hail, Caesar!","Hail, Caesar!",0,2016,\N,106,"Comedy,Mystery"
movie,Persona Au Gratin,Persona Au Gratin,0,2012,\N,93,Comedy
tvSeries,Westworld,Westworld,0,2016,\N,62,"Drama,Mystery,Sci-Fi"
movie,The Deafening Silence of a Very Bright Light,The Deafening Silence of a Very Bright Light,0,2010,\N,92,Drama
movie,Stiffs,Stiffs,0,2010,\N,104,Comedy
movie,Unstoppable,Unstoppable,0,2010,\N,98,"Action,Thriller"
movie,Sid Bernstein Presents...,Sid Bernstein Presents...,0,2010,\N,100,Documentary
movie,Extremely Loud & Incredibly Close,Extremely Loud & Incredibly Close,0,2011,\N,129,"Adventure,Drama,Mystery"
movie,The Tree of Life,The Tree of Life,0,2011,\N,139,"Drama,Fantasy"
movie,El horror de la dama del lago,El horror de la dama del lago,0,2010,\N,90,"Fantasy,Horror,Thriller"
movie,Ant-Man,Ant-Man,0,2015,\N,117,"Action,Adventure,Comedy"
movie,The Greater Meaning of Water,The Greater Meaning of Water,0,2010,\N,60,"Drama,Sport"
movie,Perfect Life,Perfect Life,0,2010,\N,98,"Horror,Thriller"
movie,Abhishapt,Abhishapt,0,2011,\N,\N,Drama
movie,Season of the Witch,Season of the Witch,0,2011,\N,95,"Action,Adventure,Fantasy"
movie,Atlas Shrugged: Part I,Atlas Shrugged: Part I,0,2011,\N,97,"Drama,Mystery,Sci-Fi"
movie,The Losers,The Losers,0,2010,\N,97,"Action,Adventure,Crime"
movie,Hall Pass,Hall Pass,0,2011,\N,105,"Comedy,Romance"
movie,Felix Austria!,Felix Austria!,0,2013,\N,77,"Biography,Documentary,History"
movie,The Croods,The Croods,0,2013,\N,98,"Action,Adventure,Animation"
movie,Bandage,Bandeiji,0,2010,\N,119,"Drama,Music,Romance"
movie,Barry Munday,Barry Munday,0,2010,\N,95,"Comedy,Drama,Romance"
movie,Chasing 3000,Chasing 3000,0,2010,\N,115,"Family,Sport"
movie,Monkey Man,Monkey Man,0,2011,\N,\N,Comedy
movie,A Woman Is a Woman,A Woman Is a Woman,0,2010,\N,102,"Comedy,Drama"
movie,Gente mala del norte,Gente mala del norte,0,2011,\N,97,"Drama,History"
movie,La daga de Rasputín,La daga de Rasputín,0,2011,\N,99,"Adventure,Comedy"
movie,U Want Me 2 Kill Him?,uwantme2killhim?,0,2013,\N,92,"Drama,Thriller"
movie,Sushi in Suhl,Sushi in Suhl,0,2012,\N,100,"Comedy,Drama"
movie,Red Tails,Red Tails,0,2012,\N,125,"Action,Adventure,Drama"
movie,Making Change,Making Change,0,2012,\N,94,Drama
tvSeries,NFL Primetime,NFL Primetime,0,2012,\N,60,"News,Sport,Talk-Show"
tvSeries,Carnival Row,Carnival Row,0,2019,\N,\N,"Fantasy,Horror,Mystery"
movie,Aftermath,Aftermath,0,2013,\N,84,"Crime,Thriller"
movie,PrimeMates,PrimeMates,0,2010,\N,82,"Comedy,Drama"
movie,Silence,Silence,0,2016,\N,161,"Adventure,Drama,History"
movie,The Invited,The Invited,0,2010,\N,95,"Horror,Thriller"
movie,Double Tap,Double Tap,0,2011,\N,100,"Action,Crime,Drama"
movie,Something Borrowed,Something Borrowed,0,2011,\N,112,"Comedy,Drama,Romance"
movie,Suburbicon,Suburbicon,0,2017,\N,105,"Crime,Drama,Mystery"
movie,Tulip Fever,Tulip Fever,0,2017,\N,105,"Drama,History,Romance"
movie,Furry Vengeance,Furry Vengeance,0,2010,\N,92,"Comedy,Family"
